venue,race_no,first_car,second_car,third_car,first_rider,second_rider,third_rider,trifecta,trifecta_payout,trifecta_popularity,is_complete
岸和田,2,2,1,3,相川　巧,齊藤　紳一朗,阿部　利光,2-1-3,560,2,True
岸和田,3,4,1,3,瀧本　匡平,林　洋二,樋口　奨平,4-1-3,420,1,True
岸和田,4,,,,,,,5-4-2,19530,66,False
佐世保,1,6,7,3,村田　奈穂,山口　優依,竹野　百香,6-7-3,7820,21,True
佐世保,2,4,6,7,小林　優香,小泉　夢菜,牧田　咲子,4-6-7,1010,3,True
佐世保,3,4,3,1,関根　崇人,平川　雅晃,小田桐　義継,4-3-1,5680,15,True
佐世保,4,4,5,1,田山　誠,宮本　寛大,横瀬　聡,4-5-1,270,1,True
佐世保,5,7,1,4,戸田　康平,白濱　蓮,中井　大介,7-1-4,5300,13,True
佐世保,6,4,5,3,伊藤　京介,西原　裕太郎,松本　大地,4-5-3,310,1,True
佐世保,7,3,2,6,等々力　久就,安部　龍文,伊藤　司,3-2-6,15690,51,True
別府,1,5,1,2,関谷　哲平,大竹　慎吾,徳吉　正治,5-1-2,570,1,True
別府,2,1,3,2,木本　賢二,松木　一将,爲田　学,1-3-2,360,2,True
別府,3,,,,,,,2-5-1,3770,12,False
